citation,title,authors,year,venue,doi,source_url,source_type,formal_peer_reviewed_or_standard,metadata_verification,category,problem,plant_model,black_box,multiple_modes,online_change,frequency_service,multi_area,ACE_tie_line,diagnosis_before_control_harm,constraint_guarantee,active_identification,native_RMS_or_EMT,data_requirements,limitations
Heqing Huang; Yuzhang Lin (2025). Neural Dynamic State Estimation and Prediction for Black-Box Inverter-Based Resources. 2025 IEEE Power &amp;amp; Energy Society General Meeting (PESGM).,Neural Dynamic State Estimation and Prediction for Black-Box Inverter-Based Resources,Heqing Huang; Yuzhang Lin,2025,2025 IEEE Power &amp;amp; Energy Society General Meeting (PESGM),10.1109/pesgm52009.2025.11225334,https://doi.org/10.1109/pesgm52009.2025.11225334,proceedings-article,True,crossref_exact_doi_title_fragment_year,black_box_ibr,identify or predict opaque IBR dynamics and changes from external measurements,black-box or switching IBR dynamic model,True,True,True,False,False,False,False,False,False,False,external noisy I/O trajectories; some works use offline labels or excitation,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation"
Guanru Pan; Ruchuan Ou; Timm Faulwasser (2025). On Data-Driven Stochastic Output-Feedback Predictive Control. IEEE Transactions on Automatic Control.,On Data-Driven Stochastic Output-Feedback Predictive Control,Guanru Pan; Ruchuan Ou; Timm Faulwasser,2025,IEEE Transactions on Automatic Control,10.1109/tac.2024.3494394,https://doi.org/10.1109/tac.2024.3494394,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer
Heqing Huang; Yuzhang Lin (2025). Switching Dynamic State Estimation and Event Detection for Inverter-Based Resources With Multiple Control Modes. IEEE Transactions on Power Systems.,Switching Dynamic State Estimation and Event Detection for Inverter-Based Resources With Multiple Control Modes,Heqing Huang; Yuzhang Lin,2025,IEEE Transactions on Power Systems,10.1109/tpwrs.2024.3523490,https://doi.org/10.1109/tpwrs.2024.3523490,journal-article,True,crossref_exact_doi_title_fragment_year,black_box_ibr,identify or predict opaque IBR dynamics and changes from external measurements,black-box or switching IBR dynamic model,True,True,True,False,False,False,False,False,False,False,external noisy I/O trajectories; some works use offline labels or excitation,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation"
Ning Ma; Qiu Jin (2024). An MPC-based Coordinated Fast Frequency Control Method for Inverter-based Resources. 2024 IEEE 34th Australasian Universities Power Engineering Conference (AUPEC).,An MPC-based Coordinated Fast Frequency Control Method for Inverter-based Resources,Ning Ma; Qiu Jin,2024,2024 IEEE 34th Australasian Universities Power Engineering Conference (AUPEC),10.1109/aupec62273.2024.10807615,https://doi.org/10.1109/aupec62273.2024.10807615,proceedings-article,True,crossref_exact_doi_title_fragment_year,frequency_control,fast or coordinated frequency control using inverter-based resources,multi-area nonlinear or phasor-domain power-system simulation,True,False,False,True,True,True,False,partial,False,varies,system or trajectory data and measurable area imbalance/frequency signals,does not address unannounced capability-set changes with a detection-critical-time Gate
Etinosa Ekomwenrenren; John W. Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Aboutaleb Haddadi; Lin Zhu (2024). Data-Driven Fast Frequency Control Using Inverter-Based Resources. IEEE Transactions on Power Systems.,Data-Driven Fast Frequency Control Using Inverter-Based Resources,Etinosa Ekomwenrenren; John W. Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Aboutaleb Haddadi; Lin Zhu,2024,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3337011,https://doi.org/10.1109/tpwrs.2023.3337011,journal-article,True,crossref_exact_doi_title_fragment_year,frequency_control,fast or coordinated frequency control using inverter-based resources,multi-area nonlinear or phasor-domain power-system simulation,True,False,False,True,True,True,False,partial,False,varies,system or trajectory data and measurable area imbalance/frequency signals,does not address unannounced capability-set changes with a detection-critical-time Gate
Linbin Huang; John Lygeros; Florian Dörfler (2024). Robust and Kernelized Data-Enabled Predictive Control for Nonlinear Systems. IEEE Transactions on Control Systems Technology.,Robust and Kernelized Data-Enabled Predictive Control for Nonlinear Systems,Linbin Huang; John Lygeros; Florian Dörfler,2024,IEEE Transactions on Control Systems Technology,10.1109/tcst.2023.3329334,https://doi.org/10.1109/tcst.2023.3329334,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer
Yunrui Lan; Mahesh S. Illindala (2024). Robust Distributed Load Frequency Control for Multi-Area Power Systems with Photovoltaic and Battery Energy Storage System. Energies.,Robust Distributed Load Frequency Control for Multi-Area Power Systems with Photovoltaic and Battery Energy Storage System,Yunrui Lan; Mahesh S. Illindala,2024,Energies,10.3390/en17225536,https://doi.org/10.3390/en17225536,journal-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows
Kaijian Hu; Tao Liu (2023). Data-Driven Output-Feedback Control for Unknown Switched Linear Systems. IEEE Control Systems Letters.,Data-Driven Output-Feedback Control for Unknown Switched Linear Systems,Kaijian Hu; Tao Liu,2023,IEEE Control Systems Letters,10.1109/lcsys.2023.3286474,https://doi.org/10.1109/lcsys.2023.3286474,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer
North American Electric Reliability Corporation (2023). Inverter-Based Resource Performance Issues Public Report. NERC Level 2 Alert report.,Inverter-Based Resource Performance Issues Public Report,North American Electric Reliability Corporation,2023,NERC Level 2 Alert report,,https://www.nerc.com/globalassets/our-work/reports/white-papers/nerc_inverter-based_resource_performance_issues_public_report_2023.pdf,official-report,False,source_url_http_200,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",industry RMS/EMT and field-performance evidence,True,True,motivating evidence,True,True,indirect,False,requirements/guidance,False,True,"facility models, event records, settings, and validation records",engineering requirement or event evidence rather than a control algorithm
Tobias Peschke; Daniel Görges (2023). Robust adaptive tube tracking model predictive control for piece‐wise constant reference signals. International Journal of Robust and Nonlinear Control.,Robust adaptive tube tracking model predictive control for piece‐wise constant reference signals,Tobias Peschke; Daniel Görges,2023,International Journal of Robust and Nonlinear Control,10.1002/rnc.6814,https://doi.org/10.1002/rnc.6814,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints"
Linbin Huang; Jianzhe Zhen; John Lygeros; Florian Dörfler (2023). Robust Data-Enabled Predictive Control: Tractable Formulations and Performance Guarantees. IEEE Transactions on Automatic Control.,Robust Data-Enabled Predictive Control: Tractable Formulations and Performance Guarantees,Linbin Huang; Jianzhe Zhen; John Lygeros; Florian Dörfler,2023,IEEE Transactions on Automatic Control,10.1109/tac.2023.3241282,https://doi.org/10.1109/tac.2023.3241282,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer
Max H. Cohen; Calin Belta (2023). Safe exploration in model-based reinforcement learning using control barrier functions. Automatica.,Safe exploration in model-based reinforcement learning using control barrier functions,Max H. Cohen; Calin Belta,2023,Automatica,10.1016/j.automatica.2022.110684,https://doi.org/10.1016/j.automatica.2022.110684,journal-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility
Anas Makdesi; Antoine Girard; Laurent Fribourg (2023). Safe learning-based model predictive control using the compatible models approach. European Journal of Control.,Safe learning-based model predictive control using the compatible models approach,Anas Makdesi; Antoine Girard; Laurent Fribourg,2023,European Journal of Control,10.1016/j.ejcon.2023.100849,https://doi.org/10.1016/j.ejcon.2023.100849,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints"
North American Electric Reliability Corporation (2022). 2022 Odessa Disturbance Report. NERC disturbance report.,2022 Odessa Disturbance Report,North American Electric Reliability Corporation,2022,NERC disturbance report,,https://www.nerc.com/globalassets/our-work/reports/white-papers/nerc_2022_odessa_disturbance_report-1.pdf,official-report,False,source_url_http_200,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",industry RMS/EMT and field-performance evidence,True,True,motivating evidence,True,True,indirect,False,requirements/guidance,False,True,"facility models, event records, settings, and validation records",engineering requirement or event evidence rather than a control algorithm
Etinosa Ekomwenrenren; Zhiyuan Tang; John Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar (2022). Hierarchical Coordinated Fast Frequency Control using Inverter-Based Resources. 2022 IEEE Power &amp; Energy Society General Meeting (PESGM).,Hierarchical Coordinated Fast Frequency Control using Inverter-Based Resources,Etinosa Ekomwenrenren; Zhiyuan Tang; John Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar,2022,2022 IEEE Power &amp; Energy Society General Meeting (PESGM),10.1109/pesgm48719.2022.9916777,https://doi.org/10.1109/pesgm48719.2022.9916777,proceedings-article,True,crossref_exact_doi_title_fragment_year,frequency_control,fast or coordinated frequency control using inverter-based resources,multi-area nonlinear or phasor-domain power-system simulation,True,False,False,True,True,True,False,partial,False,varies,system or trajectory data and measurable area imbalance/frequency signals,does not address unannounced capability-set changes with a detection-critical-time Gate
metadata unavailable (2022). IEEE Standard for Interconnection and Interoperability of Inverter-Based Resources (IBRs) Interconnecting with Associated Transmission Electric Power Systems. publisher metadata.,IEEE Standard for Interconnection and Interoperability of Inverter-Based Resources (IBRs) Interconnecting with Associated Transmission Electric Power Systems,metadata unavailable,2022,publisher metadata,10.1109/ieeestd.2022.9762253,https://doi.org/10.1109/ieeestd.2022.9762253,standard,True,crossref_exact_doi_title_fragment_year,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",industry RMS/EMT and field-performance evidence,True,True,motivating evidence,True,True,indirect,False,requirements/guidance,False,True,"facility models, event records, settings, and validation records",engineering requirement or event evidence rather than a control algorithm
Kim Peter Wabersich; Melanie N. Zeilinger (2021). A predictive safety filter for learning-based control of constrained nonlinear dynamical systems. Automatica.,A predictive safety filter for learning-based control of constrained nonlinear dynamical systems,Kim Peter Wabersich; Melanie N. Zeilinger,2021,Automatica,10.1016/j.automatica.2021.109597,https://doi.org/10.1016/j.automatica.2021.109597,journal-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility
Julian Berberich; Johannes Kohler; Matthias A. Muller; Frank Allgower (2021). Data-Driven Model Predictive Control With Stability and Robustness Guarantees. IEEE Transactions on Automatic Control.,Data-Driven Model Predictive Control With Stability and Robustness Guarantees,Julian Berberich; Johannes Kohler; Matthias A. Muller; Frank Allgower,2021,IEEE Transactions on Automatic Control,10.1109/tac.2020.3000182,https://doi.org/10.1109/tac.2020.3000182,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer
Julian Berberich; Johannes Köhler; Matthias A. Müller; Frank Allgöwer (2021). Data-driven model predictive control: closed-loop guarantees and experimental results. at - Automatisierungstechnik.,Data-driven model predictive control: closed-loop guarantees and experimental results,Julian Berberich; Johannes Köhler; Matthias A. Müller; Frank Allgöwer,2021,at - Automatisierungstechnik,10.1515/auto-2021-0024,https://doi.org/10.1515/auto-2021-0024,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer
Etinosa Ekomwenrenren; Zhiyuan Tang; John W. Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar (2021). Hierarchical Coordinated Fast Frequency Control Using Inverter-Based Resources. IEEE Transactions on Power Systems.,Hierarchical Coordinated Fast Frequency Control Using Inverter-Based Resources,Etinosa Ekomwenrenren; Zhiyuan Tang; John W. Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar,2021,IEEE Transactions on Power Systems,10.1109/tpwrs.2021.3075641,https://doi.org/10.1109/tpwrs.2021.3075641,journal-article,True,crossref_exact_doi_title_fragment_year,frequency_control,fast or coordinated frequency control using inverter-based resources,multi-area nonlinear or phasor-domain power-system simulation,True,False,False,True,True,True,False,partial,False,varies,system or trajectory data and measurable area imbalance/frequency signals,does not address unannounced capability-set changes with a detection-critical-time Gate
Anilkumar Parsi; Andrea Iannelli; Roy S. Smith (2020). Active exploration in adaptive model predictive control. 2020 59th IEEE Conference on Decision and Control (CDC).,Active exploration in adaptive model predictive control,Anilkumar Parsi; Andrea Iannelli; Roy S. Smith,2020,2020 59th IEEE Conference on Decision and Control (CDC),10.1109/cdc42340.2020.9304303,https://doi.org/10.1109/cdc42340.2020.9304303,proceedings-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility
Rahul Chakraborty; Aranya Chakrabortty; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar (2020). Hierarchical Frequency Control in Multi-Area Power Systems with Prioritized Utilization of Inverter Based Resources. 2020 IEEE Power &amp; Energy Society General Meeting (PESGM).,Hierarchical Frequency Control in Multi-Area Power Systems with Prioritized Utilization of Inverter Based Resources,Rahul Chakraborty; Aranya Chakrabortty; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar,2020,2020 IEEE Power &amp; Energy Society General Meeting (PESGM),10.1109/pesgm41954.2020.9281861,https://doi.org/10.1109/pesgm41954.2020.9281861,proceedings-article,True,crossref_exact_doi_title_fragment_year,frequency_control,fast or coordinated frequency control using inverter-based resources,multi-area nonlinear or phasor-domain power-system simulation,True,False,False,True,True,True,False,partial,False,varies,system or trajectory data and measurable area imbalance/frequency signals,does not address unannounced capability-set changes with a detection-critical-time Gate
"Lukas Hewing; Kim P. Wabersich; Marcel Menner; Melanie N. Zeilinger (2020). Learning-Based Model Predictive Control: Toward Safe Learning in Control. Annual Review of Control, Robotics, and Autonomous Systems.",Learning-Based Model Predictive Control: Toward Safe Learning in Control,Lukas Hewing; Kim P. Wabersich; Marcel Menner; Melanie N. Zeilinger,2020,"Annual Review of Control, Robotics, and Autonomous Systems",10.1146/annurev-control-090419-075625,https://doi.org/10.1146/annurev-control-090419-075625,journal-article,True,crossref_exact_doi_title_fragment_year,dual_safe,safe exploration or active uncertainty reduction within predictive control,uncertain constrained dynamical system,True,False,True,False,False,False,generic precursor,True,True,False,"uncertainty representation, safe set, and online measurements",not specialized to hidden IBR capability or multi-area frequency responsibility
Xiaonan Lu; Mark Cannon; Denis Koksal‐Rivet (2020). Robust adaptive model predictive control: Performance and parameter estimation. International Journal of Robust and Nonlinear Control.,Robust adaptive model predictive control: Performance and parameter estimation,Xiaonan Lu; Mark Cannon; Denis Koksal‐Rivet,2020,International Journal of Robust and Nonlinear Control,10.1002/rnc.5175,https://doi.org/10.1002/rnc.5175,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints"
Linbin Huang; Jeremy Coulson; John Lygeros; Florian Dorfler (2019). Data-Enabled Predictive Control for Grid-Connected Power Converters. 2019 IEEE 58th Conference on Decision and Control (CDC).,Data-Enabled Predictive Control for Grid-Connected Power Converters,Linbin Huang; Jeremy Coulson; John Lygeros; Florian Dorfler,2019,2019 IEEE 58th Conference on Decision and Control (CDC),10.1109/cdc40024.2019.9029522,https://doi.org/10.1109/cdc40024.2019.9029522,proceedings-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer
Jeremy Coulson; John Lygeros; Florian Dorfler (2019). Data-Enabled Predictive Control: In the Shallows of the DeePC. 2019 18th European Control Conference (ECC).,Data-Enabled Predictive Control: In the Shallows of the DeePC,Jeremy Coulson; John Lygeros; Florian Dorfler,2019,2019 18th European Control Conference (ECC),10.23919/ecc.2019.8795639,https://doi.org/10.23919/ecc.2019.8795639,proceedings-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer
Abidemi Ajiborisha; Paul Trodden (2019). Model Predictive Load Frequency Control of a Deregulated Power System with Battery Energy Storage. 2019 IEEE Conference on Control Technology and Applications (CCTA).,Model Predictive Load Frequency Control of a Deregulated Power System with Battery Energy Storage,Abidemi Ajiborisha; Paul Trodden,2019,2019 IEEE Conference on Control Technology and Applications (CCTA),10.1109/ccta.2019.8920505,https://doi.org/10.1109/ccta.2019.8920505,proceedings-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows
Matthias Lorenzen; Mark Cannon; Frank Allgöwer (2019). Robust MPC with recursive model update. Automatica.,Robust MPC with recursive model update,Matthias Lorenzen; Mark Cannon; Frank Allgöwer,2019,Automatica,10.1016/j.automatica.2019.02.023,https://doi.org/10.1016/j.automatica.2019.02.023,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_mpc,constraint-safe MPC with online model or uncertainty-set adaptation,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,False,True,optional persistent excitation,False,bounded disturbances and online state/input/output data,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints"
