title,authors,year,venue,doi,source_url,category,limitations,source_class,metadata_status,formal_or_official,covers_complete_dcsv_intersection,access_date
Robust adaptive model predictive control with persistent excitation conditions,Xiaonan Lu; Mark Cannon,2023,Automatica,10.1016/j.automatica.2023.110959,https://doi.org/10.1016/j.automatica.2023.110959,adaptive_tube_mpc,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
A Stability Analysis Tool for Bulk Power Systems Using Black-Box Models of Inverter-Based Resources,Dongsen Sun; Hanchao Liu; Maozhong Gong; Zhe Chen; Philip Hart,2023,IEEE Transactions on Industry Applications,10.1109/tia.2023.3301488,https://doi.org/10.1109/tia.2023.3301488,black_box_ibr,does not jointly estimate present power/ramp/delay/energy/availability sets before a counterfactual control-loss time,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Data-Driven Load Frequency Control Based on Multi-Agent Reinforcement Learning With Attention Mechanism,Fan Yang; DongHua Huang; Dongdong Li; Shunfu Lin; S. M. Muyeen; Haibao Zhai,2023,IEEE Transactions on Power Systems,10.1109/tpwrs.2022.3223255,https://doi.org/10.1109/tpwrs.2022.3223255,data_frequency_control,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Event-triggered model-free adaptive predictive control for multi-area power systems under deception attacks,Xiaodong Bu; Xisheng Dai,2023,Energy Reports,10.1016/j.egyr.2023.04.140,https://doi.org/10.1016/j.egyr.2023.04.140,data_frequency_control,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Data-Driven Output-Feedback Control for Unknown Switched Linear Systems,Kaijian Hu; Tao Liu,2023,IEEE Control Systems Letters,10.1109/lcsys.2023.3286474,https://doi.org/10.1109/lcsys.2023.3286474,data_predictive,does not by itself solve safe online capability-change diagnosis and responsibility transfer,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Robust Data-Enabled Predictive Control: Tractable Formulations and Performance Guarantees,Linbin Huang; Jianzhe Zhen; John Lygeros; Florian Dörfler,2023,IEEE Transactions on Automatic Control,10.1109/tac.2023.3241282,https://doi.org/10.1109/tac.2023.3241282,data_predictive,does not by itself solve safe online capability-change diagnosis and responsibility transfer,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Dual adaptive MPC using an exact set-membership reformulation,Anilkumar Parsi; Diyou Liu; Andrea Iannelli; Roy S. Smith,2023,IFAC-PapersOnLine,10.1016/j.ifacol.2023.10.1132,https://doi.org/10.1016/j.ifacol.2023.10.1132,dual_safe,not specialized to multi-area SFR or external IBR capability sets,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Safe exploration in model-based reinforcement learning using control barrier functions,Max H. Cohen; Calin Belta,2023,Automatica,10.1016/j.automatica.2022.110684,https://doi.org/10.1016/j.automatica.2022.110684,dual_safe,not specialized to hidden IBR capability or multi-area frequency responsibility,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
"Performance, Modeling, and Simulation of BPS-Connected Battery Energy Storage Systems and Hybrid Power Plants",North American Electric Reliability Corporation,2023,NERC Reliability Guideline,,https://www.nerc.com/comm/RSTC_Reliability_Guidelines/Reliability_Guideline_BESS_Hybrid_Performance_Modeling_Studies.pdf,official_bess_validation,industry performance/modeling guidance; no DCSV output-feedback viability controller,peer_reviewed_or_official,primary_publisher_or_official_source_checked_2026-08-03,True,False,2026-08-03
Electromagnetic Transient Modeling for BPS-Connected Inverter-Based Resources: Recommended Model Requirements and Verification Practices,North American Electric Reliability Corporation,2023,NERC Reliability Guideline,,https://www.nerc.com/comm/RSTC_Reliability_Guidelines/Reliability_Guideline-EMT_Modeling_and_Simulations.pdf,official_ibr_validation,"model requirements and verification, not disturbance/capability separation or MPC",peer_reviewed_or_official,primary_publisher_or_official_source_checked_2026-08-03,True,False,2026-08-03
Data-Driven Model Predictive Control for Load-Frequency Control in Islanded Microgrids,S. Mohammadali Zanjani; Ata Jahangir Moshayedi; Hossein Shahinzadeh; Mohammad-Hossein Fayaz-Dastgerdi; Wahiba Yaici; Jalal Moradi,2022,2022 8th Iranian Conference on Signal Processing and Intelligent Systems (ICSPIS),10.1109/icspis56952.2022.10043996,https://doi.org/10.1109/icspis56952.2022.10043996,data_frequency_control,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
IEEE Standard for Interconnection and Interoperability of Inverter-Based Resources (IBRs) Interconnecting with Associated Transmission Electric Power Systems,metadata unavailable,2022,publisher metadata,10.1109/ieeestd.2022.9762253,https://doi.org/10.1109/ieeestd.2022.9762253,industry_guideline,engineering requirement or event evidence rather than a control algorithm,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
A Data-Enabled Predictive Control Method for Frequency Regulation of Power Systems,Yunzheng Zhao; Tao Liu; David J. Hill,2021,2021 IEEE PES Innovative Smart Grid Technologies Europe (ISGT Europe),10.1109/isgteurope52324.2021.9640013,https://doi.org/10.1109/isgteurope52324.2021.9640013,data_frequency_control,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Data-Driven Model Predictive Control With Stability and Robustness Guarantees,Julian Berberich; Johannes Kohler; Matthias A. Muller; Frank Allgower,2021,IEEE Transactions on Automatic Control,10.1109/tac.2020.3000182,https://doi.org/10.1109/tac.2020.3000182,data_predictive,does not by itself solve safe online capability-change diagnosis and responsibility transfer,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Data-driven model predictive control: closed-loop guarantees and experimental results,Julian Berberich; Johannes Köhler; Matthias A. Müller; Frank Allgöwer,2021,at - Automatisierungstechnik,10.1515/auto-2021-0024,https://doi.org/10.1515/auto-2021-0024,data_predictive,does not by itself solve safe online capability-change diagnosis and responsibility transfer,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
A predictive safety filter for learning-based control of constrained nonlinear dynamical systems,Kim Peter Wabersich; Melanie N. Zeilinger,2021,Automatica,10.1016/j.automatica.2021.109597,https://doi.org/10.1016/j.automatica.2021.109597,dual_safe,not specialized to hidden IBR capability or multi-area frequency responsibility,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Hierarchical Coordinated Fast Frequency Control Using Inverter-Based Resources,Etinosa Ekomwenrenren; Zhiyuan Tang; John W. Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar,2021,IEEE Transactions on Power Systems,10.1109/tpwrs.2021.3075641,https://doi.org/10.1109/tpwrs.2021.3075641,frequency_control,does not address unannounced capability-set changes with a detection-critical-time Gate,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Semi-infinite programming yields optimal disturbance model for offset-free nonlinear model predictive control,A. Caspari; H. Djelassi; A. Mhamdi; L. T. Biegler; A. Mitsos,2021,Journal of Process Control,10.1016/j.jprocont.2021.03.005,https://doi.org/10.1016/j.jprocont.2021.03.005,offset_free_mpc,"systematic persistent-disturbance modeling, not black-box IBR capability separation or multi-area frequency control",peer_reviewed_or_official,primary_publisher_or_official_source_checked_2026-08-03,True,False,2026-08-03
"Viability, viscosity, and storage functions in model-predictive control with terminal constraints",T. Cunis; I. Kolmanovsky,2021,Automatica,10.1016/j.automatica.2021.109748,https://doi.org/10.1016/j.automatica.2021.109748,viability_mpc,generic viable-reachable sets; no energy-limited BESS bridge or disturbance-capability output-feedback separation,peer_reviewed_or_official,primary_publisher_or_official_source_checked_2026-08-03,True,False,2026-08-03
Robust adaptive model predictive control: Performance and parameter estimation,Xiaonan Lu; Mark Cannon; Denis Koksal‐Rivet,2020,International Journal of Robust and Nonlinear Control,10.1002/rnc.5175,https://doi.org/10.1002/rnc.5175,adaptive_mpc,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Active exploration in adaptive model predictive control,Anilkumar Parsi; Andrea Iannelli; Roy S. Smith,2020,2020 59th IEEE Conference on Decision and Control (CDC),10.1109/cdc42340.2020.9304303,https://doi.org/10.1109/cdc42340.2020.9304303,dual_safe,not specialized to hidden IBR capability or multi-area frequency responsibility,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Learning-Based Model Predictive Control: Toward Safe Learning in Control,Lukas Hewing; Kim P. Wabersich; Marcel Menner; Melanie N. Zeilinger,2020,"Annual Review of Control, Robotics, and Autonomous Systems",10.1146/annurev-control-090419-075625,https://doi.org/10.1146/annurev-control-090419-075625,dual_safe,not specialized to hidden IBR capability or multi-area frequency responsibility,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Hierarchical Frequency Control in Multi-Area Power Systems with Prioritized Utilization of Inverter Based Resources,Rahul Chakraborty; Aranya Chakrabortty; Evangelos Farantatos; Mahendra Patel; Hossein Hooshyar,2020,2020 IEEE Power &amp; Energy Society General Meeting (PESGM),10.1109/pesgm41954.2020.9281861,https://doi.org/10.1109/pesgm41954.2020.9281861,frequency_control,does not address unannounced capability-set changes with a detection-critical-time Gate,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Homothetic tube-based robust offset-free economic Model Predictive Control,S. Lucia et al.,2020,Automatica,10.1016/j.automatica.2020.109105,https://doi.org/10.1016/j.automatica.2020.109105,offset_free_mpc,"persistent disturbance and robust tubes, but no independent command-to-actual capability estimator or SFR bridge partition",peer_reviewed_or_official,primary_publisher_or_official_source_checked_2026-08-03,True,False,2026-08-03
Robust MPC with recursive model update,Matthias Lorenzen; Mark Cannon; Frank Allgöwer,2019,Automatica,10.1016/j.automatica.2019.02.023,https://doi.org/10.1016/j.automatica.2019.02.023,adaptive_mpc,"generic control theory; Phase C must specialize capability sets, estimators, and ACE constraints",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Robust Adaptive Tube Model Predictive Control,Xiaonan Lu; Mark Cannon,2019,2019 American Control Conference (ACC),10.23919/acc.2019.8814456,https://doi.org/10.23919/acc.2019.8814456,adaptive_tube_mpc,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Data-Enabled Predictive Control for Grid-Connected Power Converters,Linbin Huang; Jeremy Coulson; John Lygeros; Florian Dorfler,2019,2019 IEEE 58th Conference on Decision and Control (CDC),10.1109/cdc40024.2019.9029522,https://doi.org/10.1109/cdc40024.2019.9029522,data_predictive,does not by itself solve safe online capability-change diagnosis and responsibility transfer,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Data-Enabled Predictive Control: In the Shallows of the DeePC,Jeremy Coulson; John Lygeros; Florian Dorfler,2019,2019 18th European Control Conference (ECC),10.23919/ecc.2019.8795639,https://doi.org/10.23919/ecc.2019.8795639,data_predictive,does not by itself solve safe online capability-change diagnosis and responsibility transfer,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Output feedback anti-disturbance control of input-delayed systems with time-varying uncertainties,W.-H. Chen et al.,2019,Automatica,10.1016/j.automatica.2019.02.047,https://doi.org/10.1016/j.automatica.2019.02.047,disturbance_observer,generic delayed-system observer-predictor; no BESS capability-set channel or multi-area ACE domain partition,peer_reviewed_or_official,primary_publisher_or_official_source_checked_2026-08-03,True,False,2026-08-03
Distributed Model Predictive Load Frequency Control of multi-area Power Grid: A Decoupling Approach,Eleftherios E. Vlahakis; Leonidas D. Dritsas; George D. Halikias,2019,IFAC-PapersOnLine,10.1016/j.ifacol.2019.12.159,https://doi.org/10.1016/j.ifacol.2019.12.159,multi_area_agc,assumes known resource capability or does not time causal capability learning against control loss,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Model Predictive Load Frequency Control of a Deregulated Power System with Battery Energy Storage,Abidemi Ajiborisha; Paul Trodden,2019,2019 IEEE Conference on Control Technology and Applications (CCTA),10.1109/ccta.2019.8920505,https://doi.org/10.1109/ccta.2019.8920505,multi_area_agc,does not model unannounced black-box IBR capability changes or control-critical detection windows,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
Optimal Load Frequency Control of Multi-Area Power System Considering Incremental Control Action,A. B. Kunya; M. Argin; S. Kucuksari,2019,2019 IEEE Texas Power and Energy Conference (TPEC),10.1109/tpec.2019.8662140,https://doi.org/10.1109/tpec.2019.8662140,multi_area_agc,assumes known resource capability or does not time causal capability learning against control loss,peer_reviewed_or_standard,historical_crossref_or_primary_source_verified_2026-07-31,True,False,2026-08-03
