citation,title,authors,year,venue,doi,source_url,source_type,formal_peer_reviewed_or_standard,metadata_verification,category,problem,plant_model,black_box,multiple_modes,online_change,frequency_service,multi_area,ACE_tie_line,diagnosis_before_control_harm,constraint_guarantee,active_identification,native_RMS_or_EMT,data_requirements,limitations,theme_black_box_ibr_multimode,theme_data_driven_frequency_control,theme_set_adaptive_tube_mpc,theme_active_dual_safe_identification,theme_multi_area_agc_ace_constrained
Ke Yang; Xin Wang; Xunjun Chen; Renshun Wang; Guangchao Geng; Quanyuan Jiang (2025). Data-driven dynamic modeling for inverter-based resources using neural networks. Nature Communications.,Data-driven dynamic modeling for inverter-based resources using neural networks,Ke Yang; Xin Wang; Xunjun Chen; Renshun Wang; Guangchao Geng; Quanyuan Jiang,2025,Nature Communications,10.1038/s41467-025-66604-z,https://doi.org/10.1038/s41467-025-66604-z,journal-article,True,crossref_exact_doi_title_fragment_year,black_box_ibr,identify or predict opaque IBR dynamics and changes from external measurements,black-box or switching IBR dynamic model,True,True,True,False,False,False,False,False,False,False,external noisy I/O trajectories; some works use offline labels or excitation,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation",True,False,False,False,False
Shan Jiang; Rui Kong; Ye Zhu; Frede Blaabjerg; Georgios Konstantinou (2025). Dynamic Mode Identification and Frequency Stability Enhancement for Grid-Forming Converters. 2025 IEEE International Conference on Energy Technologies for Future Grids (ETFG).,Dynamic Mode Identification and Frequency Stability Enhancement for Grid-Forming Converters,Shan Jiang; Rui Kong; Ye Zhu; Frede Blaabjerg; Georgios Konstantinou,2025,2025 IEEE International Conference on Energy Technologies for Future Grids (ETFG),10.1109/etfg61999.2025.11401098,https://doi.org/10.1109/etfg61999.2025.11401098,proceedings-article,True,crossref_exact_doi_title_year_venue_2026-07-31,black_box_ibr,external-I/O or data-assisted dynamic representation of opaque inverter-based resources,IBR-integrated power system or converter network,True,varies,varies,varies,varies,False,not established,varies,sometimes uses designed perturbations,varies,terminal voltage/current or public trajectory measurements,does not jointly estimate present power/ramp/delay/energy/availability sets before a counterfactual control-loss time,True,False,False,False,False
Oriol Cartiel; Juan José Mesas; Luis Sainz (2025). Efficient Resonance Mode Analysis-Based Methodology for Resonance Studies in Multi-Terminal Transmission Grids. IEEE Transactions on Power Delivery.,Efficient Resonance Mode Analysis-Based Methodology for Resonance Studies in Multi-Terminal Transmission Grids,Oriol Cartiel; Juan José Mesas; Luis Sainz,2025,IEEE Transactions on Power Delivery,10.1109/tpwrd.2024.3493381,https://doi.org/10.1109/tpwrd.2024.3493381,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,black_box_ibr,external-I/O or data-assisted dynamic representation of opaque inverter-based resources,IBR-integrated power system or converter network,True,varies,varies,varies,varies,False,not established,varies,sometimes uses designed perturbations,varies,terminal voltage/current or public trajectory measurements,does not jointly estimate present power/ramp/delay/energy/availability sets before a counterfactual control-loss time,True,False,False,False,False
Jongchan Choi; Yaosuo Xue; Hong Wang (2025). Electromagnetic Transient Simulation of Large-Scale Inverter-Based Resources With High-Granularity. IEEE Open Access Journal of Power and Energy.,Electromagnetic Transient Simulation of Large-Scale Inverter-Based Resources With High-Granularity,Jongchan Choi; Yaosuo Xue; Hong Wang,2025,IEEE Open Access Journal of Power and Energy,10.1109/oajpe.2025.3615786,https://doi.org/10.1109/oajpe.2025.3615786,journal-article,True,crossref_exact_doi_title_fragment_year,native_modeling,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,native network RMS/DAE or EMT,varies,varies,False,supporting,possible,False,False,False,False,True,network/device parameters and validated operating cases,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller",False,False,False,False,False
North American Electric Reliability Corporation (2025). EMT Analysis in Operations Planning for BPS-Connected Inverter-Based Resources. NERC white paper.,EMT Analysis in Operations Planning for BPS-Connected Inverter-Based Resources,North American Electric Reliability Corporation,2025,NERC white paper,,https://www.nerc.com/globalassets/our-work/reports/white-papers/whitepaper_-emt-analysis-in-operations_v2.0_final.pdf,official-report,False,source_url_http_200,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",industry RMS/EMT and field-performance evidence,True,True,motivating evidence,True,True,indirect,False,requirements/guidance,False,True,"facility models, event records, settings, and validation records",engineering requirement or event evidence rather than a control algorithm,False,False,False,False,False
North American Electric Reliability Corporation (2025). Findings from Inverter-Based Resource Model Quality Deficiencies Alert. NERC aggregated report.,Findings from Inverter-Based Resource Model Quality Deficiencies Alert,North American Electric Reliability Corporation,2025,NERC aggregated report,,https://www.nerc.com/globalassets/programs/bpsa/alerts/2025/inverter-based_resource_modeling_deficiencies_aggregated_report.pdf,official-report,False,source_url_http_200,industry_guideline,"IBR interconnection capability, model quality, disturbance performance, or EMT practice",industry RMS/EMT and field-performance evidence,True,True,motivating evidence,True,True,indirect,False,requirements/guidance,False,True,"facility models, event records, settings, and validation records",engineering requirement or event evidence rather than a control algorithm,False,False,False,False,False
Aldin Dželo; Amer Mešanović; Mirsad Cosovic (2025). Identification of Black-Box Inverter-Based Resource Control Using Hammerstein-Wiener Models. 2025 IEEE PES Innovative Smart Grid Technologies Conference Europe (ISGT Europe).,Identification of Black-Box Inverter-Based Resource Control Using Hammerstein-Wiener Models,Aldin Dželo; Amer Mešanović; Mirsad Cosovic,2025,2025 IEEE PES Innovative Smart Grid Technologies Conference Europe (ISGT Europe),10.1109/isgteurope64741.2025.11305262,https://doi.org/10.1109/isgteurope64741.2025.11305262,proceedings-article,True,crossref_exact_doi_title_fragment_year,black_box_ibr,identify or predict opaque IBR dynamics and changes from external measurements,black-box or switching IBR dynamic model,True,True,True,False,False,False,False,False,False,False,external noisy I/O trajectories; some works use offline labels or excitation,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation",True,False,False,False,False
Karel Máslo; Juan D. Rios-Peñaloza; Alberto Borghetti (2025). Inverter-based resource models for dynamic stability studies. IET Conference Proceedings.,Inverter-based resource models for dynamic stability studies,Karel Máslo; Juan D. Rios-Peñaloza; Alberto Borghetti,2025,IET Conference Proceedings,10.1049/icp.2024.1952,https://doi.org/10.1049/icp.2024.1952,journal-article,True,crossref_exact_doi_title_fragment_year,native_modeling,credible RMS/DAE or EMT representation and validation of networked IBR dynamics,native network RMS/DAE or EMT,varies,varies,False,supporting,possible,False,False,False,False,True,network/device parameters and validated operating cases,"modeling infrastructure or validation evidence, not a deployable adaptive frequency controller",False,False,False,False,False
Miaomiao Ma; Jing Cui; Hong Chen; Kwang Y. Lee (2025). Load Frequency Control of Multiarea Interconnected Power System Based on Distributed Economic Model Predictive Control With Guaranteed Stability. IEEE Transactions on Industrial Informatics.,Load Frequency Control of Multiarea Interconnected Power System Based on Distributed Economic Model Predictive Control With Guaranteed Stability,Miaomiao Ma; Jing Cui; Hong Chen; Kwang Y. Lee,2025,IEEE Transactions on Industrial Informatics,10.1109/tii.2025.3594079,https://doi.org/10.1109/tii.2025.3594079,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,multi_area_agc,constrained multi-area load-frequency/ACE control,multi-area interconnected frequency response model,False,False,varies,True,True,True,not addressed,varies,False,usually no,"frequency, ACE/tie-line, and modeled resource states",assumes known resource capability or does not time causal capability learning against control loss,False,False,False,False,True
Heqing Huang; Yuzhang Lin (2025). Neural Dynamic State Estimation and Prediction for Black-Box Inverter-Based Resources. 2025 IEEE Power &amp;amp; Energy Society General Meeting (PESGM).,Neural Dynamic State Estimation and Prediction for Black-Box Inverter-Based Resources,Heqing Huang; Yuzhang Lin,2025,2025 IEEE Power &amp;amp; Energy Society General Meeting (PESGM),10.1109/pesgm52009.2025.11225334,https://doi.org/10.1109/pesgm52009.2025.11225334,proceedings-article,True,crossref_exact_doi_title_fragment_year,black_box_ibr,identify or predict opaque IBR dynamics and changes from external measurements,black-box or switching IBR dynamic model,True,True,True,False,False,False,False,False,False,False,external noisy I/O trajectories; some works use offline labels or excitation,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation",True,False,False,False,False
Guanru Pan; Ruchuan Ou; Timm Faulwasser (2025). On Data-Driven Stochastic Output-Feedback Predictive Control. IEEE Transactions on Automatic Control.,On Data-Driven Stochastic Output-Feedback Predictive Control,Guanru Pan; Ruchuan Ou; Timm Faulwasser,2025,IEEE Transactions on Automatic Control,10.1109/tac.2024.3494394,https://doi.org/10.1109/tac.2024.3494394,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
Yi Zhao (2025). Reinforcement Learning Data-Driven Optimal Load-Frequency Control for Power Systems. EAI Endorsed Transactions on Energy Web.,Reinforcement Learning Data-Driven Optimal Load-Frequency Control for Power Systems,Yi Zhao,2025,EAI Endorsed Transactions on Energy Web,10.4108/ew.7500,https://doi.org/10.4108/ew.7500,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,data_frequency_control,data-driven or black-box predictive frequency/resource control,"power system, microgrid, or inverter resource",True,usually no,varies,True,varies,varies,not a capability-set gate,varies,usually no,varies,historical or online input/output trajectories,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",False,True,False,False,False
Fabio Faliero; Elisa Capello; Andrea Iannelli (2025). Robust Adaptive Model Predictive Control for Tracking in Interconnected Systems via Distributed Optimization. International Journal of Robust and Nonlinear Control.,Robust Adaptive Model Predictive Control for Tracking in Interconnected Systems via Distributed Optimization,Fabio Faliero; Elisa Capello; Andrea Iannelli,2025,International Journal of Robust and Nonlinear Control,10.1002/rnc.70319,https://doi.org/10.1002/rnc.70319,journal-article,True,crossref_exact_doi_title_fragment_year,adaptive_tube_mpc,causal set-membership adaptation with robust predictive constraint handling,uncertain constrained linear or nonlinear system,True,False,True,False,False,False,generic precursor,True,optional or required persistent excitation,False,bounded disturbances and causal state/input/output histories,"not specialized to passive IBR current-capability sets, delay uncertainty, multi-area ACE, or native RMS validation",False,False,True,False,False
Heqing Huang; Yuzhang Lin (2025). Switching Dynamic State Estimation and Event Detection for Inverter-Based Resources With Multiple Control Modes. IEEE Transactions on Power Systems.,Switching Dynamic State Estimation and Event Detection for Inverter-Based Resources With Multiple Control Modes,Heqing Huang; Yuzhang Lin,2025,IEEE Transactions on Power Systems,10.1109/tpwrs.2024.3523490,https://doi.org/10.1109/tpwrs.2024.3523490,journal-article,True,crossref_exact_doi_title_fragment_year,black_box_ibr,identify or predict opaque IBR dynamics and changes from external measurements,black-box or switching IBR dynamic model,True,True,True,False,False,False,False,False,False,False,external noisy I/O trajectories; some works use offline labels or excitation,"does not jointly establish multi-area ACE responsibility, Tdet<Tcrit, and safe closed-loop reallocation",True,False,False,False,False
Ning Ma; Qiu Jin (2024). An MPC-based Coordinated Fast Frequency Control Method for Inverter-based Resources. 2024 IEEE 34th Australasian Universities Power Engineering Conference (AUPEC).,An MPC-based Coordinated Fast Frequency Control Method for Inverter-based Resources,Ning Ma; Qiu Jin,2024,2024 IEEE 34th Australasian Universities Power Engineering Conference (AUPEC),10.1109/aupec62273.2024.10807615,https://doi.org/10.1109/aupec62273.2024.10807615,proceedings-article,True,crossref_exact_doi_title_fragment_year,frequency_control,fast or coordinated frequency control using inverter-based resources,multi-area nonlinear or phasor-domain power-system simulation,True,False,False,True,True,True,False,partial,False,varies,system or trajectory data and measurable area imbalance/frequency signals,does not address unannounced capability-set changes with a detection-critical-time Gate,False,False,False,False,False
Etinosa Ekomwenrenren; John W. Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Aboutaleb Haddadi; Lin Zhu (2024). Data-Driven Fast Frequency Control Using Inverter-Based Resources. IEEE Transactions on Power Systems.,Data-Driven Fast Frequency Control Using Inverter-Based Resources,Etinosa Ekomwenrenren; John W. Simpson-Porco; Evangelos Farantatos; Mahendra Patel; Aboutaleb Haddadi; Lin Zhu,2024,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3337011,https://doi.org/10.1109/tpwrs.2023.3337011,journal-article,True,crossref_exact_doi_title_fragment_year,frequency_control,fast or coordinated frequency control using inverter-based resources,multi-area nonlinear or phasor-domain power-system simulation,True,False,False,True,True,True,False,partial,False,varies,system or trajectory data and measurable area imbalance/frequency signals,does not address unannounced capability-set changes with a detection-critical-time Gate,False,True,False,False,False
Maral Shadaei; Javad Khazaei; Faegheh Moazeni (2024). Data-Driven Nonlinear Model Predictive Control for Power Sharing of Inverter-Based Resources. IEEE Transactions on Energy Conversion.,Data-Driven Nonlinear Model Predictive Control for Power Sharing of Inverter-Based Resources,Maral Shadaei; Javad Khazaei; Faegheh Moazeni,2024,IEEE Transactions on Energy Conversion,10.1109/tec.2024.3365353,https://doi.org/10.1109/tec.2024.3365353,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,data_frequency_control,data-driven or black-box predictive frequency/resource control,"power system, microgrid, or inverter resource",True,usually no,varies,True,varies,varies,not a capability-set gate,varies,usually no,varies,historical or online input/output trajectories,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",True,True,False,False,False
Zhiyuan Tang; Youbo Liu; Tingjian Liu; Gao Qiu; Junyong Liu (2024). Distributed Data-Driven Frequency Control in Networked Microgrids via Voltage Regulation. IEEE Transactions on Smart Grid.,Distributed Data-Driven Frequency Control in Networked Microgrids via Voltage Regulation,Zhiyuan Tang; Youbo Liu; Tingjian Liu; Gao Qiu; Junyong Liu,2024,IEEE Transactions on Smart Grid,10.1109/tsg.2024.3395448,https://doi.org/10.1109/tsg.2024.3395448,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,data_frequency_control,data-driven or black-box predictive frequency/resource control,"power system, microgrid, or inverter resource",True,usually no,varies,True,varies,varies,not a capability-set gate,varies,usually no,varies,historical or online input/output trajectories,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",False,True,False,False,True
Linbin Huang; John Lygeros; Florian Dörfler (2024). Robust and Kernelized Data-Enabled Predictive Control for Nonlinear Systems. IEEE Transactions on Control Systems Technology.,Robust and Kernelized Data-Enabled Predictive Control for Nonlinear Systems,Linbin Huang; John Lygeros; Florian Dörfler,2024,IEEE Transactions on Control Systems Technology,10.1109/tcst.2023.3329334,https://doi.org/10.1109/tcst.2023.3329334,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
Yunrui Lan; Mahesh S. Illindala (2024). Robust Distributed Load Frequency Control for Multi-Area Power Systems with Photovoltaic and Battery Energy Storage System. Energies.,Robust Distributed Load Frequency Control for Multi-Area Power Systems with Photovoltaic and Battery Energy Storage System,Yunrui Lan; Mahesh S. Illindala,2024,Energies,10.3390/en17225536,https://doi.org/10.3390/en17225536,journal-article,True,crossref_exact_doi_title_fragment_year,multi_area_agc,multi-area secondary load-frequency and tie-line regulation,aggregated multi-area LFC/AGC,False,False,False,True,True,True,False,varies,False,False,known area models and ACE/tie-line measurements,does not model unannounced black-box IBR capability changes or control-critical detection windows,False,False,False,False,True
Zhuoer An; Xinghua Liu; Gaoxi Xiao; Guangyu Song; Peng Wang (2024). Tube-based MPC strategy for load frequency control of multi-area interconnected power system with HESS. Journal of Energy Storage.,Tube-based MPC strategy for load frequency control of multi-area interconnected power system with HESS,Zhuoer An; Xinghua Liu; Gaoxi Xiao; Guangyu Song; Peng Wang,2024,Journal of Energy Storage,10.1016/j.est.2024.113340,https://doi.org/10.1016/j.est.2024.113340,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,multi_area_agc,constrained multi-area load-frequency/ACE control,multi-area interconnected frequency response model,False,False,varies,True,True,True,not addressed,varies,False,usually no,"frequency, ACE/tie-line, and modeled resource states",assumes known resource capability or does not time causal capability learning against control loss,False,False,True,False,True
Dongsen Sun; Hanchao Liu; Maozhong Gong; Zhe Chen; Philip Hart (2023). A Stability Analysis Tool for Bulk Power Systems Using Black-Box Models of Inverter-Based Resources. IEEE Transactions on Industry Applications.,A Stability Analysis Tool for Bulk Power Systems Using Black-Box Models of Inverter-Based Resources,Dongsen Sun; Hanchao Liu; Maozhong Gong; Zhe Chen; Philip Hart,2023,IEEE Transactions on Industry Applications,10.1109/tia.2023.3301488,https://doi.org/10.1109/tia.2023.3301488,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,black_box_ibr,external-I/O or data-assisted dynamic representation of opaque inverter-based resources,IBR-integrated power system or converter network,True,varies,varies,varies,varies,False,not established,varies,sometimes uses designed perturbations,varies,terminal voltage/current or public trajectory measurements,does not jointly estimate present power/ramp/delay/energy/availability sets before a counterfactual control-loss time,True,False,False,False,False
Fan Yang; DongHua Huang; Dongdong Li; Shunfu Lin; S. M. Muyeen; Haibao Zhai (2023). Data-Driven Load Frequency Control Based on Multi-Agent Reinforcement Learning With Attention Mechanism. IEEE Transactions on Power Systems.,Data-Driven Load Frequency Control Based on Multi-Agent Reinforcement Learning With Attention Mechanism,Fan Yang; DongHua Huang; Dongdong Li; Shunfu Lin; S. M. Muyeen; Haibao Zhai,2023,IEEE Transactions on Power Systems,10.1109/tpwrs.2022.3223255,https://doi.org/10.1109/tpwrs.2022.3223255,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,data_frequency_control,data-driven or black-box predictive frequency/resource control,"power system, microgrid, or inverter resource",True,usually no,varies,True,varies,varies,not a capability-set gate,varies,usually no,varies,historical or online input/output trajectories,"does not combine unannounced multidimensional capability changes, causal Tcrit, and safe responsibility reallocation",False,True,False,False,True
Kaijian Hu; Tao Liu (2023). Data-Driven Output-Feedback Control for Unknown Switched Linear Systems. IEEE Control Systems Letters.,Data-Driven Output-Feedback Control for Unknown Switched Linear Systems,Kaijian Hu; Tao Liu,2023,IEEE Control Systems Letters,10.1109/lcsys.2023.3286474,https://doi.org/10.1109/lcsys.2023.3286474,journal-article,True,crossref_exact_doi_title_fragment_year,data_predictive,predictive control directly or indirectly from measured trajectories,"behavioral, Koopman, kernel, or output-feedback data-driven model",True,False,limited,some applications,False,False,False,under stated model/noise assumptions,False,False,persistently exciting or informative input-output trajectories,does not by itself solve safe online capability-change diagnosis and responsibility transfer,False,False,False,False,False
Anilkumar Parsi; Diyou Liu; Andrea Iannelli; Roy S. Smith (2023). Dual adaptive MPC using an exact set-membership reformulation. IFAC-PapersOnLine.,Dual adaptive MPC using an exact set-membership reformulation,Anilkumar Parsi; Diyou Liu; Andrea Iannelli; Roy S. Smith,2023,IFAC-PapersOnLine,10.1016/j.ifacol.2023.10.1132,https://doi.org/10.1016/j.ifacol.2023.10.1132,journal-article,True,crossref_exact_doi_title_year_venue_2026-07-31,dual_safe,safe active learning or dual adaptive predictive control,generic constrained uncertain dynamical system,True,False,True,False,False,False,generic exploration objective,True,True,False,"bounded uncertainty, causal state/input history, and a safe set",not specialized to multi-area SFR or external IBR capability sets,False,False,True,True,False
